date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:37	2139/2139	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Dec%202023%2020:14:36%20GMT	https://bragg.mx/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=8.4.0	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min2678.js	(from https://bragg.mx/)
12:01:40	87539/87539	---MC-	200	added ('OK')	application/json	date:Tue,%2019%20Mar%202024%2006:31:38%20GMT	https://bragg.mx/wp-json/wp/v2/pages/194	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-json/wp/v2/pages/194.json	(from https://bragg.mx/)
12:01:41	762/762	---MC-	200	added ('OK')	text/xml	date:Tue,%2019%20Mar%202024%2006:31:41%20GMT	https://bragg.mx/xmlrpc.php?rsd	/Users/sahil.banga/websites/bragg_new/bragg.mx/xmlrpc0db0.php	(from https://bragg.mx/)
12:01:42	1245153/1245153	---MC-	200	added ('OK')	application/json	date:Tue,%2019%20Mar%202024%2006:31:40%20GMT	https://bragg.mx/wp-json/	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-json/index.html	(from https://bragg.mx/)
12:01:42	2122/2122	---MC-	200	added ('OK')	application/json	date:Tue,%2019%20Mar%202024%2006:31:41%20GMT	https://bragg.mx/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbragg.mx%2F	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-json/oembed/1.0/embeda55f.json	(from https://bragg.mx/)
12:01:43	2321/2321	---MC-	200	added ('OK')	text/xml	date:Tue,%2019%20Mar%202024%2006:31:43%20GMT	https://bragg.mx/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbragg.mx%2F&format=xml	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-json/oembed/1.0/embed1a1f	(from https://bragg.mx/)
12:01:44	1411/1411	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202023%2021:58:40%20GMT	https://bragg.mx/wp-content/uploads/2023/09/cropped-favicon-32x32.png	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/09/cropped-favicon-32x32.png	(from https://bragg.mx/)
12:01:44	10952/10952	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202023%2021:58:40%20GMT	https://bragg.mx/wp-content/uploads/2023/09/cropped-favicon-192x192.png	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/09/cropped-favicon-192x192.png	(from https://bragg.mx/)
12:01:45	10349/10349	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202023%2021:58:40%20GMT	https://bragg.mx/wp-content/uploads/2023/09/cropped-favicon-180x180.png	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/09/cropped-favicon-180x180.png	(from https://bragg.mx/)
12:01:46	26464/26464	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2021:57:15%20GMT	https://bragg.mx/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://bragg.mx/)
12:01:47	7820/7820	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Aug%202023%2021:11:12%20GMT	https://bragg.mx/wp-content/uploads/2023/08/logo-desktop-1.svg	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/08/logo-desktop-1.svg	(from https://bragg.mx/)
12:01:50	117741/117741	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:31:49%20GMT	https://bragg.mx/recetas/	/Users/sahil.banga/websites/bragg_new/bragg.mx/recetas/index.html	(from https://bragg.mx/)
12:01:50	144349/144349	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:31:49%20GMT	https://bragg.mx/acerca-de/	/Users/sahil.banga/websites/bragg_new/bragg.mx/acerca-de/index.html	(from https://bragg.mx/)
12:01:51	149219/149219	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:31:49%20GMT	https://bragg.mx/wellness/	/Users/sahil.banga/websites/bragg_new/bragg.mx/wellness/index.html	(from https://bragg.mx/)
12:01:51	9978/9978	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2021:57:15%20GMT	https://bragg.mx/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css	(from https://bragg.mx/)
12:01:51	432640/432640	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:31:48%20GMT	https://bragg.mx/productos/	/Users/sahil.banga/websites/bragg_new/bragg.mx/productos/index.html	(from https://bragg.mx/)
12:01:53	68/68	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:59:24%20GMT	http://bragg.mx/wp-content/plugins/revslider/public/assets/assets/dummy.png	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/plugins/revslider/public/assets/assets/dummy.png	(from https://bragg.mx/)
12:01:53	111778/111778	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:31:51%20GMT	https://bragg.mx/contacto/	/Users/sahil.banga/websites/bragg_new/bragg.mx/contacto/index.html	(from https://bragg.mx/)
12:01:53	20148/20148	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2021:57:15%20GMT	https://bragg.mx/wp-content/plugins/elementor-pro/assets/css/widget-loop-builder.min.css	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/plugins/elementor-pro/assets/css/widget-loop-builder.min.css	(from https://bragg.mx/)
12:01:54	9921/9921	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2020:14:17%20GMT	https://bragg.mx/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://bragg.mx/)
12:01:57	131189/131189	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:31:55%20GMT	https://bragg.mx/producto/aminos-liquidos/	/Users/sahil.banga/websites/bragg_new/bragg.mx/producto/aminos-liquidos/index.html	(from https://bragg.mx/)
12:01:57	41121/41121	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Aug%202023%2020:48:38%20GMT	https://bragg.mx/wp-content/uploads/2023/08/FM199BI341_SVCBOCLA10_IMD.jpg	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/08/FM199BI341_SVCBOCLA10_IMD.jpg	(from https://bragg.mx/)
12:01:57	131248/131248	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:31:55%20GMT	https://bragg.mx/producto/vinagre-de-manzana/	/Users/sahil.banga/websites/bragg_new/bragg.mx/producto/vinagre-de-manzana/index.html	(from https://bragg.mx/)
12:01:57	131498/131498	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:31:56%20GMT	https://bragg.mx/producto/levadura-nutricional-sin-gluten/	/Users/sahil.banga/websites/bragg_new/bragg.mx/producto/levadura-nutricional-sin-gluten/index.html	(from https://bragg.mx/)
